N,t,t_lb,q,DiD
c365,4,c365>4,50\%,-0.016429353778751377
c365,4,c365>4,50\%,-0.012889366272824943
c365,4,c365>4,50\%,-0.004250797024442088
c365,4,c365>4,50\%,0.002148227712137629
c365,4,c365>4,50\%,-0.01787592008412192
c365,4,c365>4,50\%,0.0010482180293499566
c365,4,c365>4,50\%,0.006396588486140775
c365,4,c365>4,50\%,-0.02446808510638293
c365,4,c365>4,50\%,-0.012820512820512775
c365,4,c365>4,50\%,-0.007534983853606014
c365,4,c365>4,50\%,-0.018065887353878873
c365,4,c365>4,50\%,0.0063829787234041535
c365,4,c365>4,50\%,-0.005313496280552554
c365,4,c365>4,50\%,0.011702127659574513
c365,4,c365>4,50\%,0.006160164271047153
c365,4,c365>4,50\%,-0.011482254697286032
c365,4,c365>4,50\%,0.008714596949891074
c365,4,c365>4,50\%,0.004250797024441977
c365,4,c365>4,50\%,-0.024109014675052387
c365,4,c365>4,50\%,-0.034632034632034625
c365,4,c365>4,50\%,-0.023012552301255373
c365,4,c365>4,50\%,-0.0010604453870625696
c365,4,c365>4,50\%,-0.020255863539445584
c365,4,c365>4,50\%,-0.008519701810436653
c365,4,c365>4,50\%,-0.029411764705882415
c365,4,c365>4,50\%,-0.009677419354838679
c365,4,c365>4,50\%,0.024494142705005384
c365,4,c365>4,50\%,-0.028421052631578902
c365,4,c365>4,50\%,0.014192139737991272
c365,4,c365>4,50\%,0.007518796992481203
c365,4,c365>4,50\%,0.016233766233766322
c365,4,c365>4,50\%,-0.01882845188284521
c365,4,c365>4,50\%,0.0010626992561104665
c365,4,c365>4,50\%,-0.02665245202558636
c365,4,c365>4,50\%,-0.009503695881731722
c365,4,c365>4,50\%,-0.010341261633919296
c365,4,c365>4,50\%,-0.009857612267250793
c365,4,c365>4,50\%,-0.013771186440677985
c365,4,c365>4,50\%,0.0020920502092049986
c365,4,c365>4,50\%,-0.020299145299145394
c365,4,c365>4,50\%,-0.0042060988433228474
c365,4,c365>4,50\%,-0.0063025210084032834
c365,4,c365>4,50\%,-0.016181229773462757
c365,4,c365>4,50\%,0.005411255411255367
c365,4,c365>4,50\%,-0.009740259740259771
c365,4,c365>4,50\%,-0.017003188097768296
c365,4,c365>4,50\%,-0.023404255319148803
c365,4,c365>4,50\%,-0.014861995753715496
c365,4,c365>4,50\%,-0.010706638115631606
c365,4,c365>4,50\%,-0.013963480128893757
c365,4,c365>4,50\%,0.005291005291005291
c365,4,c365>4,50\%,-0.027689030883919108
c365,4,c365>4,50\%,-0.016913319238900604
c365,4,c365>4,50\%,0.007494646680942185
c365,4,c365>4,50\%,-0.011853448275862044
c365,4,c365>4,50\%,0.0010582010582010914
c365,4,c365>4,50\%,-0.02645502645502651
c365,4,c365>4,50\%,1.6653345369377348e-16
c365,4,c365>4,50\%,-0.019047619047619035
c365,4,c365>4,50\%,0.005302226935312848
c365,4,c365>4,50\%,0.006349206349206327
c365,4,c365>4,50\%,-0.010672358591248543
c365,4,c365>4,50\%,0.013771186440677874
c365,4,c365>4,50\%,-0.030655391120507303
c365,4,c365>4,50\%,-0.02000000000000013
c365,4,c365>4,50\%,0.021030494216614126
c365,4,c365>4,50\%,-0.029015544041450847
c365,4,c365>4,50\%,-0.008724100327153761
c365,4,c365>4,50\%,-0.005291005291005235
c365,4,c365>4,50\%,0.001048218029350123
c365,4,c365>4,50\%,0.0032051282051282493
c365,4,c365>4,50\%,-0.010683760683760646
c365,4,c365>4,50\%,-0.04287245444801713
c365,4,c365>4,50\%,-0.025751072961373356
c365,4,c365>4,50\%,0.015923566878980833
c365,4,c365>4,50\%,0.008658008658008587
c365,4,c365>4,50\%,-0.018240343347639576
c365,4,c365>4,50\%,-0.008762322015334112
c365,4,c365>4,50\%,0.009544008483563182
c365,4,c365>4,50\%,-0.03112033195020747
c365,4,c365>4,50\%,-5.551115123125783e-17
c365,4,c365>4,50\%,-0.0010660980810234255
c365,4,c365>4,50\%,-0.015873015873015872
c365,4,c365>4,50\%,0.0010649627263045192
c365,4,c365>4,50\%,-0.007534983853606014
c365,4,c365>4,50\%,-0.008620689655172376
c365,4,c365>4,50\%,0.009493670886075944
c365,4,c365>4,50\%,-0.01604278074866311
c365,4,c365>4,50\%,-0.01054852320675087
c365,4,c365>4,50\%,-0.0031578947368421373
c365,4,c365>4,50\%,-0.023404255319149025
c365,4,c365>4,50\%,0.01055966209081316
c365,4,c365>4,50\%,-0.03124999999999989
c365,4,c365>4,50\%,-0.007446808510638281
c365,4,c365>4,50\%,-0.021436227224008564
c365,4,c365>4,50\%,-0.0032223415682062218
c365,4,c365>4,50\%,-0.025316455696202556
c365,4,c365>4,50\%,-0.021186440677966045
c365,4,c365>4,50\%,0.004184100418410108
c365,4,c365>4,50\%,-0.03151260504201675
c365,4,c365>4,50\%,0.016985138004246336
c365,4,c365>4,50\%,0.01623376623376621
c365,4,c365>4,50\%,-0.02224576271186446
c365,4,c365>4,50\%,0.010660980810234533
c365,4,c365>4,50\%,-0.022702702702702804
c365,4,c365>4,50\%,0.02004219409282698
c365,4,c365>4,50\%,-0.013963480128893646
c365,4,c365>4,50\%,-0.033695652173913015
c365,4,c365>4,50\%,-0.009615384615384748
c365,4,c365>4,50\%,-0.004310344827586132
c365,4,c365>4,50\%,-1.1102230246251565e-16
c365,4,c365>4,50\%,-0.02123142250530785
c365,4,c365>4,50\%,-0.002094240837696326
c365,4,c365>4,50\%,-0.012008733624454038
c365,4,c365>4,50\%,-0.023231256599788752
c365,4,c365>4,50\%,0.00628272251308909
c365,4,c365>4,50\%,0.021052631578947323
c365,4,c365>4,50\%,-0.02352941176470591
c365,4,c365>4,50\%,-0.006507592190889422
c365,4,c365>4,50\%,0.01900739176346361
c365,4,c365>4,50\%,0.01470588235294118
c365,4,c365>4,50\%,-0.0031545741324922605
c365,4,c365>4,50\%,-0.03208556149732622
c365,4,c365>4,50\%,0.019148936170212794
c365,4,c365>4,50\%,-0.013143483023001168
c365,4,c365>4,50\%,-0.010482180293501064
c365,4,c365>4,50\%,-0.014941302027748071
c365,4,c365>4,50\%,-0.004192872117400492
c365,4,c365>4,50\%,-0.017259978425026967
c365,4,c365>4,50\%,0.020607375271149753
c365,4,c365>4,50\%,0.0211864406779661
c365,4,c365>4,50\%,-0.055260361317747086
c365,4,c365>4,50\%,0.001058201058201036
c365,4,c365>4,50\%,-0.0032188841201715723
c365,4,c365>4,50\%,0.007376185458377316
c365,4,c365>4,50\%,1.1102230246251565e-16
c365,4,c365>4,50\%,-0.012671594508975759
c365,4,c365>4,50\%,5.551115123125783e-17
c365,4,c365>4,50\%,0.0010582010582009804
c365,4,c365>4,50\%,-0.0275715800636267
c365,4,c365>4,50\%,0.005302226935312904
c365,4,c365>4,50\%,-0.025751072961373356
c365,4,c365>4,50\%,0.005296610169491456
c365,4,c365>4,50\%,0.01583949313621963
c365,4,c365>4,50\%,1.6653345369377348e-16
c365,4,c365>4,50\%,0.01567398119122254
c365,4,c365>4,50\%,0.007391763463569179
c365,4,c365>4,50\%,-0.03898840885142246
c365,4,c365>4,50\%,-0.03161222339304531
c365,4,c365>4,50\%,-0.007600434310532034
c365,4,c365>4,50\%,-0.006403415154749181
c365,4,c365>4,50\%,-0.0010881392818280489
c365,4,c365>4,50\%,0.00846560846560851
c365,4,c365>4,50\%,0.009646302250803818
c365,4,c365>4,50\%,0.0042918454935620964
c365,4,c365>4,50\%,0.018123667377398622
c365,4,c365>4,50\%,-0.00749464668094213
c365,4,c365>4,50\%,-0.0010718113612004365
c365,4,c365>4,50\%,-0.007478632478632452
c365,4,c365>4,50\%,0.012806830309498363
c365,4,c365>4,50\%,0.016967126193000948
c365,4,c365>4,50\%,-0.0010695187165775666
c365,4,c365>4,50\%,-0.006465517241379282
c365,4,c365>4,50\%,-0.023012552301255318
c365,4,c365>4,50\%,-0.001058201058200925
c365,4,c365>4,50\%,0.0021253985122209884
c365,4,c365>4,50\%,-0.017951425554382228
c365,4,c365>4,50\%,-0.02938090241343122
c365,4,c365>4,50\%,0.007454739084132134
c365,4,c365>4,50\%,0.003161222339304548
c365,4,c365>4,50\%,-0.007600434310531978
c365,4,c365>4,50\%,0.005336179295624299
c365,4,c365>4,50\%,0.0010615711252655036
c365,4,c365>4,50\%,0.01824034334763952
c365,4,c365>4,50\%,0.00106837606837612
c365,4,c365>4,50\%,-0.0010482180293500676
c365,4,c365>4,50\%,-0.012618296529968542
c365,4,c365>4,50\%,-0.0021276595744681437
c365,4,c365>4,50\%,0.008519701810436653
c365,4,c365>4,50\%,0.00934579439252331
c365,4,c365>4,50\%,-0.018867924528301938
c365,4,c365>4,50\%,-0.02733964248159837
c365,4,c365>4,50\%,-0.02896995708154504
c365,4,c365>4,50\%,0.0063829787234042645
c365,4,c365>4,50\%,-0.015021459227467782
c365,4,c365>4,50\%,-0.015267175572519054
c365,4,c365>4,50\%,-0.025695931477515976
c365,4,c365>4,50\%,0.010718113612004199
c365,4,c365>4,50\%,0.005324813631522984
c365,4,c365>4,50\%,-0.026288117770767505
c365,4,c365>4,50\%,-0.0195227765726681
c365,4,c365>4,50\%,0.005224660397074199
c365,4,c365>4,50\%,-0.009554140127388588
c365,4,c365>4,50\%,-0.0231578947368421
c365,4,c365>4,50\%,0.00211864406779666
c365,4,c365>4,50\%,-0.012565445026178068
c365,4,c365>4,50\%,0.009615384615384637
c365,4,c365>4,50\%,-0.008492569002123251
c365,4,c365>4,50\%,0.011664899257688155
c365,4,c365>4,50\%,0.010660980810234588
c365,4,c365>4,50\%,-0.021030494216614015
c365,4,c365>4,50\%,0.0021390374331550777
c365,4,c365>4,50\%,0.0052966101694914
c365,4,c365>4,50\%,-0.025396825396825418
c365,4,c365>4,50\%,0.005446623093681879
c365,4,c365>4,50\%,0.001067235859124882
c365,4,c365>4,50\%,-0.021989528795811508
c365,4,c365>4,50\%,-0.0010672358591248265
c365,4,c365>4,50\%,0.008565310492505307
c365,4,c365>4,50\%,-0.007567567567567546
c365,4,c365>4,50\%,-0.001084598698481487
c365,4,c365>4,50\%,-0.00849256900212314
c365,4,c365>4,50\%,-0.011677282377919374
c365,4,c365>4,50\%,-0.02558635394456288
c365,4,c365>4,50\%,-0.038626609442060145
c365,4,c365>4,50\%,0.00214132762312641
c365,4,c365>4,50\%,0.005246589716684069
c365,4,c365>4,50\%,-0.02890792291220562
c365,4,c365>4,50\%,0.010822510822510734
c365,4,c365>4,50\%,-0.018181818181818077
c365,4,c365>4,50\%,-0.011446409989594175
c365,4,c365>4,50\%,-0.02330508474576276
c365,4,c365>4,50\%,-0.05698924731182797
c365,4,c365>4,50\%,0.0010905125408942618
c365,4,c365>4,50\%,0.010438413361169074
c365,4,c365>4,50\%,-0.0021231422505308406
c365,4,c365>4,50\%,-0.030883919062832887
c365,4,c365>4,50\%,-0.022364217252396235
c365,4,c365>4,50\%,0.014814814814814725
c365,4,c365>4,50\%,0.005302226935312848
c365,4,c365>4,50\%,-0.0052301255230124966
c365,4,c365>4,50\%,-0.02823018458197596
c365,4,c365>4,50\%,-0.011727078891258014
c365,4,c365>4,50\%,-0.004255319148936176
c365,4,c365>4,50\%,-0.016025641025640858
c365,4,c365>4,50\%,0.004273504273504258
c365,4,c365>4,50\%,0.0010183299389002198
c365,4,c365>4,50\%,0.004319654427645758
c365,4,c365>4,50\%,-0.030687830687830653
c365,4,c365>4,50\%,-5.551115123125783e-17
c365,4,c365>4,50\%,0.0
c365,4,c365>4,50\%,-0.0021436227224008175
c365,4,c365>4,50\%,-0.002127659574468088
c365,4,c365>4,50\%,-0.0010752688172042668
c365,4,c365>4,50\%,-0.002150537634408589
c365,4,c365>4,50\%,-0.005405405405405406
c365,4,c365>4,50\%,-0.001074113856068759
c365,4,c365>4,50\%,-0.011470281543274286
c365,4,c365>4,50\%,-0.005405405405405406
c365,4,c365>4,50\%,-0.004223864836325308
c365,4,c365>4,50\%,-0.002107481559536384
c365,4,c365>4,50\%,-0.013527575442247586
c365,4,c365>4,50\%,-0.005219206680584509
c365,4,c365>4,50\%,-0.020942408376963262
c365,4,c365>4,50\%,5.551115123125783e-17
c365,4,c365>4,50\%,-0.013829787234042545
c365,4,c365>4,50\%,-0.014861995753715662
c365,4,c365>4,50\%,-0.007494646680942185
c365,4,c365>4,50\%,-0.004206098843322903
c365,4,c365>4,50\%,-0.017003188097768296
c365,4,c365>4,50\%,0.014973262032085488
c365,4,c365>4,50\%,-0.016129032258064502
c365,4,c365>4,50\%,-0.007407407407407418
c365,4,c365>4,50\%,-0.020540540540540553
c365,4,c365>4,50\%,0.024083769633507723
c365,4,c365>4,50\%,-0.010672358591248765
c365,4,c365>4,50\%,-0.013015184381778788
c365,4,c365>4,50\%,-0.006389776357827448
c365,4,c365>4,50\%,-0.006335797254487963
c365,4,c365>4,50\%,-0.0052631578947368585
c365,4,c365>4,50\%,-0.025879917184265078
c365,4,c365>4,50\%,0.00963597430406854
c365,4,c365>4,50\%,-0.006514657980456029
c365,4,c365>4,50\%,0.02363050483351231
c365,4,c365>4,50\%,0.021390374331550777
c365,4,c365>4,50\%,-0.004347826086956441
c365,4,c365>4,50\%,-0.031115879828326254
c365,4,c365>4,50\%,-0.04153354632587869
c365,4,c365>4,50\%,0.008620689655172376
c365,4,c365>4,50\%,-0.01060445387062564
c365,4,c365>4,50\%,5.551115123125783e-17
c365,4,c365>4,50\%,-0.0117647058823529
c365,4,c365>4,50\%,-0.005302226935312737
c365,4,c365>4,50\%,-0.033084311632870955
c365,4,c365>4,50\%,-0.005387931034482707
c365,4,c365>4,50\%,-0.0042372881355932646
c365,4,c365>4,50\%,-0.017857142857142905
c365,4,c365>4,50\%,-0.014767932489451518
c365,4,c365>4,50\%,-0.034594594594594574
c365,4,c365>4,50\%,0.00319148936170216
c365,4,c365>4,50\%,0.011714589989350377
c365,4,c365>4,50\%,0.0021505376344086446
c365,4,c365>4,50\%,0.0021528525296017342
c365,4,c365>4,50\%,-0.015200868621064012
c365,4,c365>4,50\%,0.002096436058700135
c365,4,c365>4,50\%,0.00965665236051505
c365,4,c365>4,50\%,-0.02346368715083791
c365,4,c365>4,50\%,0.008528784648187737
c365,4,c365>4,50\%,-0.032362459546925626
c365,4,c365>4,50\%,-0.03283898305084737
c365,4,c365>4,50\%,0.01912858660998934
c365,4,c365>4,50\%,-0.01602564102564108
c365,4,c365>4,50\%,-0.019417475728155165
c365,4,c365>4,50\%,0.020299145299145338
c365,4,c365>4,50\%,-0.013655462184874012
c365,4,c365>4,50\%,-0.022411953041622246
c365,4,c365>4,50\%,-0.023133543638275578
c365,4,c365>4,50\%,-0.01908801696712631
c365,4,c365>4,50\%,-0.03473684210526318
c365,4,c365>4,50\%,-0.018887722980063026
c365,4,c365>4,50\%,-0.0032502708559046245
c365,4,c365>4,50\%,-0.05491024287222812
c365,4,c365>4,50\%,-0.020127118644067854
c365,4,c365>4,50\%,-0.005252100840336171
c365,4,c365>4,50\%,0.010799136069114534
c365,4,c365>4,50\%,-0.01950162513542797
c365,4,c365>4,50\%,-0.013029315960912058
c365,4,c365>4,50\%,0.018867924528301827
c365,4,c365>4,50\%,0.006535947712418333
c365,4,c365>4,50\%,0.0010822510822511844
c365,4,c365>4,50\%,1.1102230246251565e-16
c365,4,c365>4,50\%,0.008298755186721907
c365,4,c365>4,50\%,-0.009513742071881548
c365,4,c365>4,50\%,-0.01597444089456862
c365,4,c365>4,50\%,-0.017185821697099923
c365,4,c365>4,50\%,0.0010649627263045747
c365,4,c365>4,50\%,-0.015037593984962405
c365,4,c365>4,50\%,-0.018085106382978777
c365,4,c365>4,50\%,-0.001069518716577511
c365,4,c365>4,50\%,-0.012779552715654952
c365,4,c365>4,50\%,-0.005387931034482818
c365,4,c365>4,50\%,0.002123142250530674
c365,4,c365>4,50\%,0.007415254237288171
c365,4,c365>4,50\%,-0.010787486515641875
c365,4,c365>4,50\%,-0.009564293304994753
c365,4,c365>4,50\%,-0.011727078891257903
c365,4,c365>4,50\%,-0.02670940170940178
c365,4,c365>4,50\%,-0.009771986970684043
c365,4,c365>4,50\%,0.0031880977683316214
c365,4,c365>4,50\%,-0.018927444794952675
c365,4,c365>4,50\%,0.0021645021645022577
c365,4,c365>4,50\%,-0.02467811158798272
c365,4,c365>4,50\%,-0.02564102564102566
c365,4,c365>4,50\%,0.005364806866952898
c365,4,c365>4,50\%,-0.01967213114754096
c365,4,c365>4,50\%,0.009615384615384637
c365,4,c365>4,50\%,-0.0032017075773747017
c365,4,c365>4,50\%,0.020042194092827093
c365,4,c365>4,50\%,-5.551115123125783e-17
c365,4,c365>4,50\%,-0.028723404255319274
c365,4,c365>4,50\%,-0.03533190578158446
c365,4,c365>4,50\%,0.0
c365,4,c365>4,50\%,0.00214132762312641
c365,4,c365>4,50\%,0.0
c365,4,c365>4,50\%,-0.015135135135135092
c365,4,c365>4,50\%,-0.003215434083601365
c365,4,c365>4,50\%,-0.019047619047619035
c365,4,c365>4,50\%,-0.012931034482758619
c365,4,c365>4,50\%,-0.00619834710743794
c365,4,c365>4,50\%,-0.004264392324093924
c365,4,c365>4,50\%,-0.022751895991332594
c365,4,c365>4,50\%,-1.1102230246251565e-16
c365,4,c365>4,50\%,0.0
c365,4,c365>4,50\%,-0.0021231422505308406
c365,4,c365>4,50\%,0.012793176972281495
c365,4,c365>4,50\%,-0.005230125523012552
c365,4,c365>4,50\%,-0.009625668449197933
c365,4,c365>4,50\%,-0.005230125523012552
c365,4,c365>4,50\%,0.018338727076591177
c365,4,c365>4,50\%,-0.007518796992481258
c365,4,c365>4,50\%,0.012806830309498307
c365,4,c365>4,50\%,-0.010626992561105109
c365,4,c365>4,50\%,-0.010548523206751093
c365,4,c365>4,50\%,-0.02143622722400851
c365,4,c365>4,50\%,-0.0043149946062567834
c365,4,c365>4,50\%,0.0010976948408341625
c365,4,c365>4,50\%,-0.026455026455026565
c365,4,c365>4,50\%,-0.006430868167202619
c365,4,c365>4,50\%,-0.028213166144200608
c365,4,c365>4,50\%,0.01594048884165783
c365,4,c365>4,50\%,-0.0010373443983401898
c365,4,c365>4,50\%,-0.024159663865546188
c365,4,c365>4,50\%,-0.003201707577374535
c365,4,c365>4,50\%,-0.010775862068965414
c365,4,c365>4,50\%,-0.008438818565400852
c365,4,c365>4,50\%,-0.01382978723404249
c365,4,c365>4,50\%,-0.010928961748633892
c365,4,c365>4,50\%,-0.015723270440251513
c365,4,c365>4,50\%,-0.01831896551724138
c365,4,c365>4,50\%,0.004232804232804255
c365,4,c365>4,50\%,-0.003250270855904791
c365,4,c365>4,50\%,-0.003115264797507844
c365,4,c365>4,50\%,-1.1102230246251565e-16
c365,4,c365>4,50\%,0.002132196162046851
c365,4,c365>4,50\%,-0.004273504273504369
c365,4,c365>4,50\%,0.0031578947368422483
c365,4,c365>4,50\%,-0.012752391073326208
c365,4,c365>4,50\%,-0.005186721991701226
c365,4,c365>4,50\%,-0.023655913978494536
c365,4,c365>4,50\%,-0.014925373134328401
c365,4,c365>4,50\%,-0.0021390374331549666
c365,4,c365>4,50\%,0.0010537407797683307
c365,4,c365>4,50\%,0.002125398512221044
c365,4,c365>4,50\%,-0.013859275053304754
c365,4,c365>4,50\%,0.029882604055496365
c365,4,c365>4,50\%,-0.010515247108307202
c365,4,c365>4,50\%,-0.02038626609442068
c365,4,c365>4,50\%,0.0031545741324921495
c365,4,c365>4,50\%,-0.002109704641350185
c365,4,c365>4,50\%,-0.013698630136986245
c365,4,c365>4,50\%,-0.011891891891891992
c365,4,c365>4,50\%,5.551115123125783e-17
c365,4,c365>4,50\%,-0.024236037934668164
c365,4,c365>4,50\%,0.005417118093174411
c365,4,c365>4,50\%,-0.03525641025641024
c365,4,c365>4,50\%,-0.00755939524838023
c365,4,c365>4,50\%,0.01789473684210524
c365,4,c365>4,50\%,-0.009635974304068373
c365,4,c365>4,50\%,-0.012889366272824943
c365,4,c365>4,50\%,-0.012972972972973007
c365,4,c365>4,50\%,-0.006362672322375362
c365,4,c365>4,50\%,0.012008733624454093
c365,4,c365>4,50\%,-0.007518796992481258
c365,4,c365>4,50\%,0.017297297297297343
c365,4,c365>4,50\%,-0.004282655246252709
c365,4,c365>4,50\%,0.023732470334412004
c365,4,c365>4,50\%,-0.037115588547189715
c365,4,c365>4,50\%,-0.02210526315789474
c365,4,c365>4,50\%,-0.019047619047619146
c365,4,c365>4,50\%,-0.005370569280343629
c365,4,c365>4,50\%,0.010482180293500953
c365,4,c365>4,50\%,-0.01810436634717777
c365,4,c365>4,50\%,0.011542497376705096
c365,4,c365>4,50\%,-0.013698630136986356
c365,4,c365>4,50\%,-0.01364113326337879
c365,4,c365>4,50\%,-0.012847965738758127
c365,4,c365>4,50\%,-0.039956803455723555
c365,4,c365>4,50\%,-0.015021459227467893
c365,4,c365>4,50\%,-0.005347593582887722
c365,4,c365>4,50\%,0.011506276150627603
c365,4,c365>4,50\%,-0.0010905125408941507
c365,4,c365>4,50\%,0.005405405405405406
c365,4,c365>4,50\%,-0.036363636363636376
c365,4,c365>4,50\%,0.006355932203389758
c365,4,c365>4,50\%,-0.013874066168623245
c365,4,c365>4,50\%,-0.03567681007345219
c365,4,c365>4,50\%,-0.020021074815595452
c365,4,c365>4,50\%,-0.020768431983385183
c365,4,c365>4,50\%,-0.021852237252861617
c365,4,c365>4,50\%,-0.0021645021645020357
c365,4,c365>4,50\%,0.01505376344086018
c365,4,c365>4,50\%,-0.005353319057815886
c365,4,c365>4,50\%,-0.012021857923497248
c365,4,c365>4,50\%,-0.01573976915005243
c365,4,c365>4,50\%,-0.022058823529411797
c365,4,c365>4,50\%,-0.0031948881789136685
c365,4,c365>4,50\%,0.014925373134328346
c365,4,c365>4,50\%,-0.001058201058201036
c365,4,c365>4,50\%,-0.04480874316939881
c365,4,c365>4,50\%,-0.015856236786469302
c365,4,c365>4,50\%,-0.019047619047618924
c365,4,c365>4,50\%,-0.012591815320041999
c365,4,c365>4,50\%,-0.00533049040511735
c365,4,c365>4,50\%,0.001052631578947416
c365,4,c365>4,50\%,0.008421052631578885
c365,4,c365>4,50\%,0.020042194092826926
c365,4,c365>4,50\%,-0.013800424628450159
c365,4,c365>4,50\%,-0.027484143763213453
c365,4,c365>4,50\%,-0.009750812567713818
c365,4,c365>4,50\%,-0.01465968586387456
c365,4,c365>4,50\%,-0.017057569296375252
c365,4,c365>4,50\%,-0.0168954593453009
c365,4,c365>4,50\%,0.014721345951629827
c365,4,c365>4,50\%,-0.01063829787234033
c365,4,c365>4,50\%,-0.019801980198019653
c365,4,c365>4,50\%,0.008676789587852451
c365,4,c365>4,50\%,-0.00531349628055261
c365,4,c365>4,50\%,-0.017075773745997835
c365,4,c365>4,50\%,-0.007391763463569234
c365,4,c365>4,50\%,-0.016111707841031164
c365,4,c365>4,50\%,-0.012698412698412598
c365,4,c365>4,50\%,-0.017278617710583033
c365,4,c365>4,50\%,0.008537886872999001
c365,4,c365>4,50\%,0.0
c365,4,c365>4,50\%,-0.04081632653061229
c365,4,c365>4,50\%,0.020746887966804906
c365,4,c365>4,50\%,-0.023354564755838636
c365,4,c365>4,50\%,0.01921024546424749
c365,4,c365>4,50\%,0.010869565217391297
c365,4,c365>4,50\%,0.0010593220338983578
c365,4,c365>4,50\%,-0.03796095444685471
c365,4,c365>4,50\%,-0.017894736842105297
c365,4,c365>4,50\%,0.0010752688172042668
c365,4,c365>4,50\%,-0.01050420168067212
c365,4,c365>4,50\%,0.031049250535331918
c365,4,c365>4,50\%,0.001042752867570329
c365,4,c365>4,50\%,-0.053854276663146905
c365,4,c365>4,50\%,0.019067796610169385
c365,4,c365>4,50\%,-0.003191489361701938
c365,4,c365>4,50\%,-0.014941302027748182
c365,4,c365>4,50\%,-0.03211991434689515
c365,4,c365>4,50\%,0.003201707577374646
c365,4,c365>4,50\%,-0.01368421052631591
c365,4,c365>4,50\%,0.00971922246220297
c365,4,c365>4,50\%,-0.02935010482180289
c365,4,c365>4,50\%,-0.005252100840336227
c365,4,c365>4,50\%,-0.0168954593453009
c365,4,c365>4,50\%,0.008528784648187682
c365,4,c365>4,50\%,0.007399577167019111
c365,4,c365>4,50\%,-0.03081827842720508
c365,4,c365>4,50\%,-0.033333333333333326
c365,4,c365>4,50\%,0.004136504653567685
c365,4,c365>4,50\%,-0.013933547695605508
c365,4,c365>4,50\%,-0.009911894273127775
c365,4,c365>4,50\%,0.0010706638115632328
c365,4,c365>4,50\%,0.005252100840336116
c365,4,c365>4,50\%,0.014161220043572842
