"","submission_id","year","full_decision","binary_decision","input_len","n_review","rating_avg","rating_max","rating_min","confidence_avg","confidence_max","confidence_min","sentiment_avg","sentiment_max","sentiment_min","rlen_avg","rlen_max","rlen_min","sub_fluency","n_fig","n_ref","n_sec","primary_keyword","secondary_keyword","arxiv_first","n_author","any_reported_f","cnt_reported_f","fst_reported_f","any_perceived_f","cnt_perceived_f","fst_perceived_f","demo_no_us","demo_mode","ins_rank_max","ins_rank_avg","ins_rank_min","author_cite_max","author_cite_avg","author_cite_min","top_inst","top_author","cluster","c365","c1095","c1825","log_input_len","log_ins_rank_min","log_ins_rank_avg","log_ins_rank_max","log_author_cite_max","log_author_cite_avg","log_author_cite_min","matched_set","distance"
"1","-5W5OBfFlwX","2021","Reject",0,14390,3,4,4,4,3.33333333333333,4,3,0.526311175649486,0.556972242891788,0.50594925303613,537.333333333333,727,389,0.802831343755274,8,20,14,NA,NA,TRUE,2,TRUE,1,TRUE,FALSE,0,FALSE,FALSE,"['CHN' 'USA']",75,65,55,5712,5712,5712,FALSE,FALSE,"7",0,NA,NA,4.15806079393661,1.74036268949424,1.81291335664286,1.8750612633917,3.75686422406055,3.75686422406055,3.75686422406055,1,NA
"2","V3o2w-jDeT5","2021","Reject",0,10846,4,5,6,3,3.5,4,3,0.593670901836771,0.770493364334106,0.357751800733454,594.5,993,276,0.817356373197279,4,47,22,NA,NA,FALSE,2,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,"USA",42.5,42.5,42.5,94,94,94,FALSE,FALSE,"0",1,NA,NA,4.03526960009944,1.62838893005031,1.62838893005031,1.62838893005031,1.97772360528885,1.97772360528885,1.97772360528885,1,0
"3","-70L8lpp9DF","2022","Accept (Oral)",1,23963,4,8,10,6,3.75,5,3,0.593503022854655,0.609043093288646,0.582451499846517,894.25,2146,359,0.881539046764374,11,31,24,"differential privacy","other",TRUE,2,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,"USA",9,3.66666666666667,1,17598,8876.66666666667,4468,TRUE,FALSE,"8",23,NA,NA,4.3795411877526,0,0.564271430438563,0.954242509439325,4.24548799129027,3.94829883436528,3.65021035466036,2,NA
"4","_uCb2ynRu7Y","2022","Accept (Poster)",1,12150,4,6.75,8,5,3.75,5,3,0.629415625115485,0.763105768423814,0.549213126804052,684.25,1516,194,0.849471867084503,11,53,27,"sampling","other",FALSE,2,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,"USA",13,13,13,1047,1047,1047,FALSE,FALSE,"1",6,NA,NA,4.08457627793433,1.11394335230684,1.11394335230684,1.11394335230684,3.02036128264771,3.02036128264771,3.02036128264771,2,0
"5","-ApAkox5mp","2022","Accept (Spotlight)",1,13888,3,8,8,8,3,3,3,0.72703741647644,0.783315209050973,0.635404908657074,474,703,331,0.833792567253113,11,46,25,NA,NA,TRUE,6,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,"FRA",545,193.333333333333,3,530,225.333333333333,27,TRUE,FALSE,"4",4,NA,NA,4.14263970783242,0.477121254719662,2.28630673884327,2.73639650227664,2.72509452108147,2.35474851956084,1.44715803134222,3,NA
"6","NudBMY-tzDr","2022","Accept (Oral)",1,9020,3,8,8,8,3.66666666666667,4,3,0.742050723440783,0.826807387669881,0.58633265170184,686,818,443,0.877551972866058,19,65,23,NA,NA,FALSE,6,TRUE,2,FALSE,TRUE,2,FALSE,FALSE,"USA",30,11.6666666666667,8,82473,31472.6666666667,4433,FALSE,TRUE,"18",NA,0,NA,3.95520653754194,0.903089986991944,1.06694678963061,1.47712125471966,4.91631705841423,4.49794734095386,3.64679568877847,3,0
"7","-GLNZeVDuik","2021","Accept (Poster)",1,14675,4,6.75,7,6,3.5,4,3,0.756280011322896,0.937223149670495,0.497632963316781,493.25,766,229,0.884836673736572,25,50,36,"normalizing flows","density estimation",TRUE,2,FALSE,0,FALSE,FALSE,0,FALSE,TRUE,"NLD",36.5,36.5,36.5,5977,2996.5,16,FALSE,FALSE,"9",4,NA,NA,4.16657810991965,1.56229286445647,1.56229286445647,1.56229286445647,3.77655591070326,3.47675919177089,1.23044892137827,4,NA
"8","zrT3HcsWSAt","2021","Accept (Spotlight)",1,9322,3,7,8,6,3.66666666666667,4,3,0.482292456349783,0.578191794455051,0.381745249032974,878.666666666667,1376,449,0.817416650667976,7,27,23,"imitation learning","inverse reinforcement learning",FALSE,2,FALSE,0,FALSE,FALSE,0,FALSE,TRUE,"[]",308,308,308,1038,1038,1038,FALSE,FALSE,"7",NA,NA,NA,3.96950909859657,2.48855071650044,2.48855071650044,2.48855071650044,3.01661554755718,3.01661554755718,3.01661554755718,4,0
"9","-Gk_IPJWvk","2022","Accept (Poster)",1,7544,4,6.25,8,5,3.75,4,3,0.619895692673468,0.817704108783177,0.354112745324771,1021.25,2359,487,0.876431345939636,4,45,10,"generative models","text generation",TRUE,2,FALSE,0,FALSE,FALSE,0,FALSE,TRUE,"CHE",123.5,67.25,11,12769,6403.5,38,FALSE,FALSE,"9",7,NA,NA,3.87760167972927,1.04139268515822,1.82769228867445,2.09166695759568,4.10619089726342,3.80648522998748,1.5910646070265,5,NA
"10","ErX-xMSek2","2022","Reject",0,7216,5,4.4,6,3,4.4,5,4,0.610621363053965,0.686186453129383,0.55220220486323,863.8,1878,355,0.862476348876953,14,42,12,"transfer learning","few-shot learning",FALSE,2,FALSE,0,FALSE,FALSE,0,FALSE,FALSE,"USA",64.5,64.5,64.5,2886,1649,412,FALSE,FALSE,"12",0,NA,NA,3.85829652453389,1.80955971463527,1.80955971463527,1.80955971463527,3.46044678388072,3.21748394421391,2.6159500516564,5,0
